molecule_chembl_id,canonical_smiles,bao_format,assay_type,activity_comment,pchembl_value,potential_duplicate
CHEMBL1331770,Cc1cccc(C(=O)NNC(=O)c2c(O)c3ccccc3n(C)c2=O)c1,BAO_0000019,F,Active,5.99,0
CHEMBL1549127,CCOC(=O)c1ccc2c(c1)nc(COc1ccc(OC)cc1)n2CC,BAO_0000019,F,inactive,,0
CHEMBL1532568,O=C(Nc1cccc(Br)c1)c1cc2ccccc2o1,BAO_0000019,F,Active,5.01,0
CHEMBL1411435,O=C(NC(=S)NNC(=O)c1ccccc1O)c1ccc(F)cc1,BAO_0000019,F,Active,5.1,0
CHEMBL1994635,Oc1c(/C=N/c2ccccn2)sc2ccccc12,BAO_0000019,F,Active,4.99,0
CHEMBL1529733,Cn1c(=O)c(C(=O)Nc2ncccn2)c(O)c2ccccc21,BAO_0000019,F,Active,4.87,0
CHEMBL1363164,COc1cc(CNCCc2ccccc2)ccc1OCc1ccc(Cl)nc1.Cl,BAO_0000019,F,Active,4.52,0
CHEMBL1580883,COc1ccc(-c2nn(-c3ccccc3)cc2C=O)cc1,BAO_0000019,F,Active,4.09,0
CHEMBL1313152,c1ccc(OCc2nnnn2-c2ccccc2)cc1,BAO_0000019,F,Active,5.22,0
CHEMBL1451060,O=C(NNC(=S)NC(=O)c1ccc(Br)cc1)c1ccc([N+](=O)[O-])cc1,BAO_0000019,F,Active,5.25,0
CHEMBL1388722,O=c1cc(-c2ccccc2Cl)oc2ccc([N+](=O)[O-])c(O)c12,BAO_0000019,F,Active,5.04,0
CHEMBL1559889,CC(C)NC(=O)c1c(O)nc2ccccc2c1O,BAO_0000019,F,Active,4.88,0
CHEMBL1444685,CN(CC(=O)N1CCc2ccccc2C1)c1ccccc1,BAO_0000019,F,inactive,,0
CHEMBL2000196,CC(=O)N(/N=C1\Sc2ccccc2C1=O)c1ccccc1C,BAO_0000019,F,Active,5.08,0
CHEMBL1490692,O=C(Nc1cccc(Cl)c1)c1cc(N=Nc2ccc([N+](=O)[O-])cc2Cl)ccc1O,BAO_0000019,F,Active,5.87,0
CHEMBL2001888,CCC1Nc2ncnc(N3CCN(c4ccccn4)CC3)c2N(Cc2ccc(Br)cc2)C1=O.O=C(O)C(F)(F)F,BAO_0000019,F,Active,5.43,0
CHEMBL1256359,CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1.Cl,BAO_0000019,F,Active,5.1,0
CHEMBL1596325,CCCOc1ccc(C(=O)NNC(=S)NC(=O)c2cccs2)cc1,BAO_0000019,F,Active,5.05,0
CHEMBL1716490,O=C(NCCCCc1ccccc1)c1ccccc1Br,BAO_0000019,F,Active,4.73,0
CHEMBL601543,CCN1/C(=C/C=C/c2oc3ccc(-c4ccccc4)cc3[n+]2CC)Oc2ccc(-c3ccccc3)cc21.CCOS(=O)(=O)[O-],BAO_0000019,F,Active,5.04,0
CHEMBL1530042,CC1CC(=O)c2cnc(Nc3cccc(C(F)(F)F)c3)nc2C1,BAO_0000019,F,Active,4.34,0
CHEMBL1707377,O=C(NCCCc1ccccc1)c1c(O)nc2sccn2c1=O,BAO_0000019,F,Active,5.02,0
CHEMBL1727095,Cc1csc2nc(O)c(C(=O)NCCC3=CCCCC3)c(=O)n12,BAO_0000019,F,Active,5.39,0
CHEMBL1518625,Br.CCCCCCCCn1c2c(c(=N)c3ccccc31)CCC2,BAO_0000019,F,Active,4.92,0
CHEMBL1336269,COc1ccc(NC(=O)C#Cc2ccccc2)cc1,BAO_0000019,F,Active,5.84,0
CHEMBL16312,COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,BAO_0000019,F,Active,5.27,0
CHEMBL1596681,Br.CCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,BAO_0000019,F,Active,5.2,0
